reliability_group,model,horizon,seed,sample_count,Pinball_q05,Pinball_q50,Pinball_q95,Pinball_Loss,PICP,MPIW,PINAW,median_MAE
Medium,UQ_aux_full_fusion,3,20260718,2526,0.3275660185991349,0.47718256499591744,0.5337076868221864,0.4461520901390796,0.9667458432304038,14.314577858502773,0.19214198467788957,0.9543651299918349
Medium,UQ_aux_full_fusion,6,42,2481,0.31796287684996055,0.42393358039164053,0.5138773675216686,0.4185912749210899,0.9693671906489318,14.114072397609528,0.20455177387839896,0.8478671607832811
Medium,UQ_aux_full_fusion,6,2025,2481,0.3192803891422959,0.40967077980210637,0.5138996079293824,0.41428359229126155,0.9669488109633212,14.144388812340733,0.2049911422078367,0.8193415596042127
Medium,UQ_aux_full_fusion,6,20260623,2481,0.31396802204936225,0.43634798102972727,0.5138572614070922,0.4213910881620606,0.9681580008061266,14.148829861063959,0.205055505232811,0.8726959620594545
Medium,UQ_aux_full_fusion,6,20260715,2481,0.3170199162053851,0.39814530395298703,0.5138488247912533,0.4096713483165418,0.9685610640870617,14.1365248462165,0.2048771716842971,0.7962906079059741
Medium,UQ_aux_full_fusion,6,20260718,2481,0.31690870544113786,0.39180246373906535,0.5138671331855381,0.4075261007885804,0.9665457476823861,14.061077106388188,0.20378372617953897,0.7836049274781307
Low,UQ_T1_traffic_only,1,42,4777,0.3969446593307166,0.6474858134866435,0.9564408491564674,0.6669571073246092,0.9420138162026377,23.40642342618352,0.292580292827294,1.294971626973287
Low,UQ_T1_traffic_only,1,2025,4777,0.3984580919586367,0.6429943009253348,0.9564123047279078,0.6659548992039598,0.9386644337450283,23.29660764138819,0.29120759551735237,1.2859886018506697
Low,UQ_T1_traffic_only,1,20260623,4777,0.39662692637181013,0.6614814348642063,0.9563730339487909,0.6714937983949358,0.9424324890098388,23.32100857284894,0.2915126071606117,1.3229628697284126
Low,UQ_T1_traffic_only,1,20260715,4777,0.4039475934685636,0.6542205762633575,0.9564181502304101,0.6715287733207771,0.9415951433954365,23.362168258769206,0.29202710323461506,1.308441152526715
Low,UQ_T1_traffic_only,1,20260718,4777,0.3996104967501814,0.6511505173668592,0.9564792237971561,0.6690800793047322,0.941804479799037,23.325126776516576,0.2915640847064572,1.3023010347337185
Low,UQ_T1_traffic_only,3,42,4809,0.4676073813443373,0.759527892772907,0.9272631545254244,0.7181328095475562,0.9288833437305053,22.51378281137804,0.2814222851422255,1.519055785545814
Low,UQ_T1_traffic_only,3,2025,4809,0.46687759953493085,0.7107244560192518,0.9273760467191384,0.7016593674244404,0.9274277396548138,22.319006705884007,0.2789875838235501,1.4214489120385037
Low,UQ_T1_traffic_only,3,20260623,4809,0.463680264022202,0.7117757573150553,0.9272494875336177,0.7009018362902917,0.9207735495945103,22.216000122844516,0.27770000153555646,1.4235515146301105
Low,UQ_T1_traffic_only,3,20260715,4809,0.47044227899149615,0.7823473927780853,0.9271889571167877,0.726659542962123,0.9313786650031192,22.4284838900345,0.28035604862543123,1.5646947855561706
Low,UQ_T1_traffic_only,3,20260718,4809,0.48004983258262246,0.798449508958905,0.9271568708247278,0.7352187374554185,0.9259721355791225,22.470761795107403,0.28088452243884254,1.59689901791781
Low,UQ_T1_traffic_only,6,42,4906,0.47467032120366803,0.7788808902720262,0.9082750904380287,0.7206087673045743,0.9194863432531594,22.133011774000128,0.2766626471750016,1.5577617805440525
Low,UQ_T1_traffic_only,6,2025,4906,0.4601965698183093,0.7607540932665832,0.9080468063883239,0.7096658231577387,0.9280472890338362,22.234978155267516,0.27793722694084394,1.5215081865331663
Low,UQ_T1_traffic_only,6,20260623,4906,0.4736502910214349,0.7384853528268086,0.9080970390154991,0.7067442276212476,0.9178556869139829,22.053336441686966,0.2756667055210871,1.4769707056536172
Low,UQ_T1_traffic_only,6,20260715,4906,0.4753246715979532,0.7681158435524507,0.9080618833844349,0.7171674661782795,0.911944557684468,22.09817868079937,0.2762272335099921,1.5362316871049013
Low,UQ_T1_traffic_only,6,20260718,4906,0.48943603296353777,0.7481575774213415,0.9081034975638943,0.7152323693162579,0.921320831634733,22.044657032683194,0.27555821290853993,1.496315154842683
Low,UQ_T2_best_environmental_M4_pressure,1,42,4777,0.40919554430694294,0.6540719054846776,0.9563909126371185,0.6732194541429131,0.9342683692694159,23.151447467831904,0.2893930933478988,1.3081438109693553
Low,UQ_T2_best_environmental_M4_pressure,1,2025,4777,0.4079704820298739,0.6499301686006433,0.9564445844773652,0.6714484117026275,0.9294536319866025,23.29461291885935,0.2911826614857419,1.2998603372012867
Low,UQ_T2_best_environmental_M4_pressure,1,20260623,4777,0.40499277639918074,0.6802632719346962,0.9563698644839704,0.6805419709392825,0.9323843416370107,23.25280316164984,0.290660039520623,1.3605265438693923
Low,UQ_T2_best_environmental_M4_pressure,1,20260715,4777,0.4070424046754986,0.6631201567798573,0.9563870416417249,0.6755165343656936,0.9363617333054218,23.3625376787,0.29203172098375,1.3262403135597145
Low,UQ_T2_best_environmental_M4_pressure,1,20260718,4777,0.4068274472432079,0.6605943153162543,0.9563706215141167,0.6745974613578597,0.9374084153234248,23.31187343936798,0.29139841799209976,1.3211886306325087
Low,UQ_T2_best_environmental_M4_pressure,3,42,4809,0.4911391280847122,0.7743387813254785,0.927187129171606,0.7308883461939323,0.924516531503431,22.185301098711502,0.2773162637338938,1.548677562650957
Low,UQ_T2_best_environmental_M4_pressure,3,2025,4809,0.498828518606318,0.7416261310858994,0.9271365782058925,0.72253040929937,0.9251403618215845,22.30890661665198,0.2788613327081498,1.4832522621717987
Low,UQ_T2_best_environmental_M4_pressure,3,20260623,4809,0.48420132924375575,0.7171717054954461,0.9271553857184227,0.7095094734858748,0.9207735495945103,22.211835019973687,0.2776479377496711,1.4343434109908921
Low,UQ_T2_best_environmental_M4_pressure,3,20260715,4809,0.49790545394351715,0.711758889237767,0.9271988820722292,0.7122877417511712,0.9243085880640466,22.21281666873671,0.2776602083592089,1.423517778475534
Low,UQ_T2_best_environmental_M4_pressure,3,20260718,4809,0.48323705605395645,0.772545148389804,0.9271627097943892,0.7276483047460499,0.9197338323975879,22.34376265814756,0.2792970332268445,1.545090296779608
Low,UQ_T2_best_environmental_M4_pressure,6,42,4906,0.47207494505171965,0.7436945394647398,0.9081182393549521,0.7079625746238039,0.9097024052181003,21.9330064549623,0.27416258068702876,1.4873890789294797
