variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,1,2025,test,13641,271,1.2004923162736945,2.5260355045734717,1.5311414130629746,0.9753204000091457,0.9971901876580412,0.20330212861565322,20.387497904799886
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,1,20260623,test,13641,271,1.1926195764402967,2.510959341230875,1.5237796155985017,0.9756141119181492,1.0032477383948817,0.18937183804541502,18.87587988470278
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,1,20260715,test,13641,271,1.178281963788277,2.502382111462189,1.5091815705536207,0.9757804277316877,1.0009857405928273,0.1772962231954498,17.712162721763374
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,1,20260718,test,13641,271,1.1753589454041056,2.498489704996223,1.5081947563340365,0.9758557152745577,0.9977285930774394,0.17763035232666613,17.803474167135473
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,3,42,test,13539,269,1.3920374548839942,2.797264207825447,1.8124757234767395,0.9696520493990752,1.178476248725019,0.21356120615897511,18.12180825791141
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,3,2025,test,13539,269,1.3990140889418057,2.818692102349207,1.8167996991684223,0.96918531951169,1.1733298926467683,0.22568419629503733,19.234504951198726
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,3,20260623,test,13539,269,1.3786478777939277,2.8137463453673752,1.7949152457806907,0.9692933612638756,1.1734359243629475,0.2052119534309802,17.488126038274203
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,3,20260715,test,13539,269,1.3865844955536375,2.791414178931182,1.8040277209225162,0.9697788523967886,1.1768088351301655,0.20977566042347195,17.825806040984464
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,3,20260718,test,13539,269,1.3801841662958905,2.7777957732122243,1.7943535372184534,0.9700730114714886,1.173111668990652,0.20707249730523847,17.651558907721387
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,6,42,test,13387,266,1.4559295383019382,2.8831174536067348,1.8983452456386392,0.9677126162656363,1.2211762180918702,0.234753320210068,19.223541756887318
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,6,2025,test,13387,266,1.4558557020015312,2.8869735909901264,1.910449062446536,0.9676261904774525,1.2105098615797245,0.24534584042180674,20.26797535557691
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,6,20260623,test,13387,266,1.4402697403145213,2.8748284863110136,1.8869265599537082,0.967898001949806,1.2210236967858117,0.21924604352870958,17.955920438386798
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,6,20260715,test,13387,266,1.4542447431216734,2.85924170313135,1.8886100181787064,0.9682451603543645,1.2172144128169635,0.23703033030470988,19.473178086690375
