variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,42,test,13641,271,1.070125361539674,2.465355281495637,1.3955435071861544,0.9764918613391749
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,2025,test,13641,271,1.0792353331190636,2.4673660901354366,1.4066459099637934,0.976453497987525
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,20260623,test,13641,271,1.078014753655022,2.463001679675351,1.4042807448072907,0.9765367249642879
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,20260715,test,13641,271,1.077970425256422,2.4685551254851226,1.4042651419857533,0.9764307981786402
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,20260718,test,13641,271,1.089282356655394,2.4719301292947495,1.4171001180063199,0.9763663065877627
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,42,test,13539,269,1.3022895804159922,2.752464571671648,1.7159224352673494,0.9706163415634185
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,2025,test,13539,269,1.298572144753842,2.7500854529389716,1.713223956177641,0.970667115695417
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,20260623,test,13539,269,1.303936104342801,2.754132038665215,1.7208020278959926,0.9705807290274503
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,20260715,test,13539,269,1.316349663548829,2.7659433757606373,1.7340128504705856,0.9703278536947479
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,20260718,test,13539,269,1.2943860887709246,2.7494138978297165,1.70416165160906,0.9706814397908041
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,42,test,13387,266,1.5786079147428913,3.10174679890245,2.0540200565688886,0.9626301916773966
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,2025,test,13387,266,1.58463202395028,3.1193076879450192,2.0526902222612367,0.9622058470686987
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,20260623,test,13387,266,1.5766953914159145,3.119270675925801,2.048305210788187,0.962206743953364
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,20260715,test,13387,266,1.5533136048410399,3.0490052292631695,2.012486861447161,0.963890246538239
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,20260718,test,13387,266,1.5592632559754485,3.0738281439144512,2.01781501103486,0.9632998913291848
