panel,horizon,row_order,row_label,scenario,scenario_label,reliability_group,reliability_definition,column_order,experiment,configuration,sample_count_mean,baseline_sample_count,MAE_traffic_only,MAE_mean,delta_MAE,delta_convention,seed_count,common_vmin,common_vcenter,common_vmax
(a)  1-h forecast,1,11,Compound — Low,S8_rain_elevated_atmospheric_pollution,Compound,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,793.0,793.0,1.3809029735101777,1.421275574731045,0.04037260122086739,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,11,Compound — Low,S8_rain_elevated_atmospheric_pollution,Compound,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,793.0,793.0,1.3809029735101777,1.524654893847061,0.14375192033688333,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,11,Compound — Low,S8_rain_elevated_atmospheric_pollution,Compound,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,793.0,793.0,1.3809029735101777,1.5610492986909177,0.18014632518074003,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,0,Dry — High,S1_dry,Dry,High,frozen training-defined classification,0,E3_meteorology,Meteorology,2565.0,2565.0,0.8593111413233151,0.8938385125768115,0.034527371253496364,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,0,Dry — High,S1_dry,Dry,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,2565.0,2565.0,0.8593111413233151,1.1678917086813805,0.3085805673580654,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,0,Dry — High,S1_dry,Dry,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,2565.0,2565.0,0.8593111413233151,1.1047499788419386,0.2454388375186235,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,1,Dry — Medium,S1_dry,Dry,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,717.0,717.0,1.0419396528583635,1.112839734349235,0.07090008149087157,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,1,Dry — Medium,S1_dry,Dry,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,717.0,717.0,1.0419396528583635,1.2510287662153188,0.20908911335695524,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,1,Dry — Medium,S1_dry,Dry,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,717.0,717.0,1.0419396528583635,1.2066503002498383,0.16471064739147478,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,2,Dry — Low,S1_dry,Dry,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,2040.0,2040.0,1.6205994053759605,1.6567971037571727,0.03619769838121223,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,2,Dry — Low,S1_dry,Dry,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,2040.0,2040.0,1.6205994053759605,1.7198241449243885,0.09922473954842803,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,2,Dry — Low,S1_dry,Dry,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,2040.0,2040.0,1.6205994053759605,1.7189136530807594,0.09831424770479891,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,3,Rain — High,S2_rain,Rain,High,frozen training-defined classification,0,E3_meteorology,Meteorology,3639.0,3639.0,0.8996585566754896,0.972928116279414,0.07326955960392445,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,3,Rain — High,S2_rain,Rain,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,3639.0,3639.0,0.8996585566754896,1.1229768459358154,0.22331828926032582,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,3,Rain — High,S2_rain,Rain,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,3639.0,3639.0,0.8996585566754896,1.1669577474612465,0.2672991907857569,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,4,Rain — Medium,S2_rain,Rain,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,1809.0,1809.0,0.9897816199897864,1.0933713735478874,0.10358975355810096,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,4,Rain — Medium,S2_rain,Rain,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,1809.0,1809.0,0.9897816199897864,1.2587271231192128,0.26894550312942633,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,4,Rain — Medium,S2_rain,Rain,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,1809.0,1809.0,0.9897816199897864,1.3121980711046184,0.32241645111483197,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,5,Rain — Low,S2_rain,Rain,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,2769.0,2769.0,1.6566147247347516,1.7061343478570994,0.04951962312234781,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,5,Rain — Low,S2_rain,Rain,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,2769.0,2769.0,1.6566147247347516,1.8121874519845016,0.15557272724975002,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,5,Rain — Low,S2_rain,Rain,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,2769.0,2769.0,1.6566147247347516,1.8925404422934968,0.23592571755874525,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,6,Elevated AOD — High,S7_elevated_aod,Elevated AOD,High,frozen training-defined classification,0,E3_meteorology,Meteorology,1509.0,1509.0,1.122960942603116,1.1093426285818075,-0.01361831402130842,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
