variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,2025,test,13387,266,1.4121886608435044,2.9127990846425877,1.8664824862944402,0.9670443984197433,1.2105098615797245,0.20167879926377985,16.66064900954937
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,20260623,test,13387,266,1.394729109373924,2.86735407547617,1.8455087162804042,0.9680647121397086,1.2210236967858117,0.17370541258811234,14.22621141959567
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,20260715,test,13387,266,1.4145510578086653,2.9023578304444704,1.871748642930292,0.9672802410404087,1.2172144128169635,0.19733664499170178,16.212151525137745
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,20260718,test,13387,266,1.3998262610135925,2.8868352038074425,1.8529243590765787,0.9676292940825073,1.212974663518796,0.18685159749479663,15.404410587830982
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,42,test,13641,271,1.127455334336784,2.519863232431647,1.462876093563961,0.9754408599962624,0.9980668375849404,0.1293884967518435,12.963911020721785
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,2025,test,13641,271,1.1151346312978414,2.5105933689043725,1.4487302701636815,0.975621219886543,0.9971901876580412,0.11794444363980017,11.827677919374588
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,20260623,test,13641,271,1.1208956524904146,2.5197988275886116,1.455895765140069,0.9754421153876844,1.0032477383948817,0.11764791409553288,11.726706135790586
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,20260715,test,13641,271,1.148099785428084,2.534964460016302,1.4856966262888103,0.975145618210036,1.0009857405928273,0.1471140448352568,14.696917135715587
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,20260718,test,13641,271,1.138789674842666,2.538103601256518,1.4774205957956659,0.9750840238764463,0.9977285930774394,0.14106108176522658,14.13822183146334
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,42,test,13539,269,1.3157110787748152,2.76891620938039,1.7453442812725448,0.9702640362217749,1.178476248725019,0.13723483004979609,11.645107841440927
