experiment,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
E2_rainfall,E2_rainfall_aware_xgboost,3,20260715,test,13539,269,1.3347999828776378,2.795709400965134,1.7714103407923705,0.9696857767017404
E2_rainfall,E2_rainfall_aware_xgboost,3,20260718,test,13539,269,1.3108045769644108,2.770452405882892,1.741513827451022,0.9702310320050888
E2_rainfall,E2_rainfall_aware_xgboost,6,42,test,13387,266,1.4314006756502586,2.9152494489122813,1.886843383312094,0.9669889279305746
E2_rainfall,E2_rainfall_aware_xgboost,6,2025,test,13387,266,1.4048145578099964,2.8848739354373727,1.8475195059229363,0.9676732633920954
E2_rainfall,E2_rainfall_aware_xgboost,6,20260623,test,13387,266,1.3999254641342096,2.87567919617962,1.849295985211497,0.9678790001016327
E2_rainfall,E2_rainfall_aware_xgboost,6,20260715,test,13387,266,1.4415656220695952,2.920555143881393,1.8998041286517104,0.9668686596216148
E2_rainfall,E2_rainfall_aware_xgboost,6,20260718,test,13387,266,1.4155760425812594,2.9049701097471217,1.8690667447436624,0.9672213154224484
E3_meteorology,E3_meteorology_aware_xgboost,1,42,test,13641,271,1.030439187816035,2.4805143502055884,1.3553041522135605,0.9762018770952744
E3_meteorology,E3_meteorology_aware_xgboost,1,2025,test,13641,271,1.0338904146522063,2.4744534969530747,1.357097415331182,0.9763180310029292
E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,test,13641,271,1.031717208997655,2.486276218241041,1.357765706809562,0.9760911896482874
E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,test,13641,271,1.0349874733183164,2.4758692739069423,1.36047963477636,0.9762909236212572
E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,test,13641,271,1.0267779172773317,2.477755696556065,1.3505797601484884,0.9762547808589696
E3_meteorology,E3_meteorology_aware_xgboost,3,42,test,13539,269,1.2364314612860483,2.7343949283268265,1.6580912553548075,0.9710008765074918
