scenario,reliability_group,experiment,model,horizon,seed_count,sample_count_mean,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
S2_rain,High,E3_meteorology,E3_meteorology_aware_xgboost,1,5,3650.0,0.6236028484187713,0.0035207830324101,1.6582781170082943,0.0053348768882672,0.6880928950022244,0.0035986665540417,0.9526808164547,0.0003046386639631
S2_rain,High,E3_meteorology,E3_meteorology_aware_xgboost,3,5,3639.0,0.972928116279414,0.0056558473145774,2.295354399445998,0.007970294124428,1.074675385212864,0.0057183355758614,0.9184045426387416,0.0005666770474177
S2_rain,High,E3_meteorology,E3_meteorology_aware_xgboost,6,5,3558.0,1.0369944431818847,0.0115517987836426,2.119392379193077,0.0137295371840264,1.1274786929098035,0.0126640996138002,0.9308624632661916,0.0008948369316323
S2_rain,High,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,3650.0,0.7954718663463854,0.0149198444208714,1.7231345936701654,0.0183287079395185,0.8625240384908828,0.0152852009811786,0.948902857005704,0.0010887142107879
S2_rain,High,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,3639.0,1.1229768459358154,0.0128427418211909,2.358629845901757,0.021932347538302,1.2314804417811716,0.0141651750308937,0.9138387654235262,0.0016068012882393
S2_rain,High,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,3558.0,1.1445787202157127,0.0184725885408331,2.168963590490692,0.0250512072204256,1.2377666582595666,0.0192990740119865,0.927585180231882,0.0016787850730985
S2_rain,High,E5_full_fusion,E5_full_fusion_xgboost,1,5,3650.0,0.8056783764982878,0.0251367359775599,1.7425226253880317,0.0114612457921311,0.8749486161479639,0.0258184776774528,0.9477494592525676,0.000689959608785
S2_rain,High,E5_full_fusion,E5_full_fusion_xgboost,3,5,3639.0,1.1669577474612465,0.0218083248372051,2.38482485434725,0.0170703214256638,1.2803004126975943,0.0223279200207099,0.9119168023953012,0.0012622854888025
S2_rain,High,E5_full_fusion,E5_full_fusion_xgboost,6,5,3558.0,1.3149991755050423,0.0225899675021442,2.324535461756707,0.0211378428067545,1.420983536474632,0.0234508043026669,0.916827900287626,0.0015085484191793
S2_rain,Medium,E1_traffic_only,E1_traffic_only_xgboost,1,5,1814.0,0.7186225666801791,0.0021039991535957,1.9314131528559677,0.0041014634349115,0.886534103503634,0.0027260739122521,0.9835556666304144,6.984761236733216e-05
S2_rain,Medium,E1_traffic_only,E1_traffic_only_xgboost,3,5,1809.0,0.9897816199897864,0.0021738518818207,2.41214412123564,0.0056397806689771,1.2554134986713064,0.0028336687602429,0.9754343205664256,0.0001148692436503
S2_rain,Medium,E1_traffic_only,E1_traffic_only_xgboost,6,5,1795.0,0.9521116435583146,0.0084116702906062,2.206240697730909,0.0092871259626862,1.1695646050196042,0.010170233163185,0.9780364533868504,0.0001850561197184
S2_rain,Medium,E3_meteorology,E3_meteorology_aware_xgboost,1,5,1814.0,0.8020218888366543,0.004513769142169,1.9736565675203517,0.0040059154379465,0.9817961150491306,0.0048171852499256,0.982828472251194,6.972873580756667e-05
S2_rain,Medium,E3_meteorology,E3_meteorology_aware_xgboost,3,5,1809.0,1.0933713735478874,0.0091333541543851,2.4796431315488165,0.0091434158174351,1.3745584063175744,0.0112487145468172,0.974040073181375,0.0001916110351565
S2_rain,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,5,1795.0,1.0046626650102737,0.0109170608309533,2.121580395971166,0.0089087782402799,1.2049464780226162,0.0123273581602991,0.979689732465586,0.000170575812316
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,1814.0,0.8819041406140087,0.0173260381610441,1.973502399828853,0.009012293569084,1.062904638813483,0.0182226134961091,0.9828309249253036,0.0001570108582312
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,1809.0,1.2587271231192128,0.0216970896439925,2.607137986752136,0.0323195316886827,1.5501647321814478,0.0280206483309936,0.9712986847062444,0.0007114939179782
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,1795.0,1.1898181886239083,0.01860142786081,2.2667011115208173,0.0231542887365762,1.3955261442608082,0.0185771085746936,0.9768145623780904,0.0004755288907342
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,5,1814.0,0.9525919152217416,0.0185864678428278,2.0356610089482685,0.0150205550339767,1.1420495033605735,0.0210565272296299,0.9817318668299544,0.0002687262292457
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,5,1809.0,1.3121980711046184,0.0222051915421424,2.629231888688044,0.0157988429590152,1.6148660592525867,0.0232623178258837,0.9708129163644116,0.000351348770386
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,6,5,1795.0,1.293857194339111,0.0260673048174737,2.3429756785046534,0.036173170041879,1.502215514286192,0.0290544685957888,0.975225271781904,0.0007638949473006
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,1,5,2685.0,1.328025577765381,0.0140494742121873,2.7758428563203053,0.0156204803604246,2.003772065524936,0.0138726153496176,0.9821249576393384,0.000200993830586
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,3,5,2769.0,1.6566147247347516,0.0105299330128736,3.351229249215797,0.0142426728575439,2.5350720887829943,0.0150636026544541,0.9731467861728588,0.000228334105047
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,6,5,2911.0,1.982232093002929,0.0203268478491284,3.801230223889172,0.039836138268872,2.926251633482692,0.0333423809811945,0.9636867828651476,0.0007593872743084
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,1,5,2685.0,1.357277285366899,0.0097394864350979,2.81900412474385,0.0145116124699672,2.058654244385258,0.0120180533260736,0.9815648381794791,0.0001903215576639
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,3,5,2769.0,1.7061343478570994,0.0013662619007527,3.4317982472029547,0.0067922657862721,2.59182483070091,0.0053540506011707,0.9718403938656994,0.0001114947818733
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,6,5,2911.0,2.1493519495487163,0.0109688856158606,3.9533990778362975,0.0183032651077846,3.1135446235895783,0.0136868870912155,0.960724024218041,0.0003642308454207
S2_rain,Low,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,2685.0,1.480325470633717,0.0195821382610573,2.85012953434486,0.0083610465868103,2.192892895033656,0.0214433579855028,0.9811557649951728,0.0001106267324192
S2_rain,Low,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,2769.0,1.8121874519845016,0.024676723214719,3.489013327061366,0.0202339310695923,2.6959082771229226,0.0301557563142298,0.9708929185990056,0.0003378897555988
S2_rain,Low,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,2911.0,2.160700544529623,0.0127188713423388,3.902982965713914,0.0188107285205096,3.0957645851282893,0.0149987727375555,0.9617193234028738,0.0003695594250141
S2_rain,Low,E5_full_fusion,E5_full_fusion_xgboost,1,5,2685.0,1.5436785135677629,0.0178860685596878,2.878452482218516,0.0078919333727944,2.2806888730813712,0.0203571205269679,0.9807793944865316,0.0001054775570522
