model,horizon,seed,scenario,feature_group,repetition,sample_count,encoded_columns_permuted,baseline_MAE,permuted_MAE,delta_MAE,importance_convention
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,3,13641,28,1.194628900955305,1.282546162950769,0.08791726199546401,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,4,13641,28,1.194628900955305,1.2870097162180378,0.09238081526273278,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,5,13641,28,1.194628900955305,1.2871039555627013,0.09247505460739625,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,6,13641,28,1.194628900955305,1.2839340712584097,0.0893051703031047,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,7,13641,28,1.194628900955305,1.2825710905054706,0.08794218955016553,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,8,13641,28,1.194628900955305,1.2877177365961168,0.09308883564081172,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,9,13641,28,1.194628900955305,1.2893858031204908,0.09475690216518573,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,10,13641,28,1.194628900955305,1.2847026398485861,0.09007373889328107,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Road,1,13641,16,1.194628900955305,1.389555653581241,0.19492675262593595,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Road,2,13641,16,1.194628900955305,1.3886530712448257,0.19402417028952068,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Road,3,13641,16,1.194628900955305,1.390769825737209,0.19614092478190392,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Road,4,13641,16,1.194628900955305,1.397965116090469,0.20333621513516387,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Road,5,13641,16,1.194628900955305,1.396044762512137,0.201415861556832,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Road,6,13641,16,1.194628900955305,1.386538338375136,0.1919094374198309,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Road,7,13641,16,1.194628900955305,1.3928808995997677,0.19825199864446263,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Road,8,13641,16,1.194628900955305,1.3952507568647228,0.20062185590941772,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Road,9,13641,16,1.194628900955305,1.3962346887598986,0.2016057878045936,positive delta means the group was useful
