scenario,reliability_group,experiment,model,horizon,seed_count,sample_count_mean,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,6,5,686.0,0.8414963109616055,0.005770058830597788,2.177797486370568,0.006347351903114994,1.0981177328260592,0.008333451655092331,0.9755898783711519,0.0001423273393839963
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,1,5,731.0,0.9404352597759782,0.008687627311874507,2.397780719934766,0.006165831160969916,1.1421606798007797,0.009215225282305239,0.9699929037068638,0.00015420949013308368
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,3,5,717.0,1.1128397343492353,0.013048655571304581,2.3650241617004975,0.008659734641928499,1.4441049561279076,0.014868078790493153,0.9714738768495984,0.00020904572358683773
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,5,686.0,0.9161367814904631,0.011937436485255313,2.168435825353228,0.025569513506840988,1.18491174164651,0.017036192719608597,0.9757967625661543,0.0005726862293288199
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,731.0,1.0787178408322244,0.01580884606155238,2.3752265147969966,0.020639751496886228,1.2775155939889915,0.01889559254144221,0.9705531363095915,0.0005126764634215981
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,717.0,1.2510287662153188,0.010635423050874835,2.3834071502357914,0.02325365884061527,1.5887002018333445,0.016464259687684564,0.9710267991369083,0.0005661771948825085
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,686.0,0.9962612567304754,0.016545584779258087,2.2043012972802445,0.011960709124242574,1.2635034188952659,0.018816389347901585,0.9749917012220773,0.00027175272456970854
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,5,731.0,0.981281167102958,0.008700792329631332,2.3245242390799516,0.005719816113900566,1.1683568671196953,0.009631088059806631,0.9717984480237132,0.00013879759703853923
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,5,717.0,1.2066503002498385,0.029945074128377186,2.3654127232543876,0.029053634051050783,1.538243159884651,0.03505479514770859,0.9714613647865725,0.0007063350499545603
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,6,5,686.0,0.9667389208883538,0.025093764572411092,2.172725689204856,0.022165158110873096,1.2291932909432632,0.02449703375242065,0.9757015840176786,0.0004958374442503202
