scenario,reliability_group,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
S2_rain,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,42,1795,1.0181782469399683,2.1313999052230956,1.2214006657559497,0.979501578704534
S2_rain,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,2025,1795,0.9882390343002844,2.111460950267577,1.1880785842673964,0.979883304678678
S2_rain,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,1795,1.0075375920174403,2.114318727913192,1.206210266065358,0.9798288135485047
S2_rain,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,1795,1.0018458079671904,2.1210415558057645,1.199490014588562,0.9797003343308075
S2_rain,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,1795,1.0075126438264839,2.1296808406461993,1.2095528594358151,0.9795346310654061
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,1814,0.8994637308117223,1.9743865390025803,1.081673585088377,0.9828158245033239
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,1814,0.8726213190933222,1.965585520129541,1.0527888141989792,0.9829686832980091
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,1814,0.901883909484123,1.9874145693345842,1.0837273695805665,0.9825882960227207
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,1814,0.8657948002925651,1.9653608068127604,1.046485602274466,0.9829725772470213
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,1814,0.8697569433883111,1.9747645638647982,1.049847822925027,0.9828092435554426
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,42,1809,1.2896557469295054,2.6280148841102884,1.5926087396551718,0.970840772312979
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,2025,1809,1.2522890299355454,2.6120720894319587,1.5419318620414557,0.971193486821489
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260623,1809,1.271045887955693,2.6466818784531947,1.5624009374224943,0.9704250605923309
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260715,1809,1.2350398672204748,2.5775156999430924,1.522306922594714,0.9719506362507273
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,1809,1.2456050835548458,2.5714053818221436,1.5315751991934028,0.9720834675536949
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,42,1795,1.2156208207636048,2.303733111908093,1.4181077324304452,0.9760527934794012
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,2025,1795,1.1654179511251779,2.245792116916412,1.3708629495359959,0.9772422335277046
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260623,1795,1.1864669505113126,2.2549767347192007,1.3895724649430945,0.9770557079780049
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260715,1795,1.1833839915212705,2.2547859784930546,1.3896821101913113,0.9770595896867317
S2_rain,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260718,1795,1.198201229198176,2.274217615567325,1.409405464203194,0.9766624872186087
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,42,1814,0.9833069547227707,2.0491246142027437,1.1766410990017535,0.9814902276792669
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,2025,1814,0.952486524823745,2.0459388714891587,1.1415870731257787,0.9815477366604741
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,1814,0.9377653302098407,2.0372653689076876,1.126946557611167,0.9817038571672329
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,1814,0.9515568476308578,2.0350667064581613,1.1416911610779137,0.9817433270722028
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,1814,0.9378439187214944,2.0109094836835903,1.1233816259862555,0.9821741855705957
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,42,1809,1.323800604493222,2.623267275338874,1.6288780533584761,0.9709460316556688
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,2025,1809,1.305010168421042,2.619602831006204,1.6083272985139938,0.9710271459889002
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,20260623,1809,1.343414066245109,2.653007989703527,1.6467543053842908,0.9702835113148467
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,20260715,1809,1.284980941921478,2.613492941482939,1.587002194300011,0.9711621393517936
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,20260718,1809,1.3037845744422418,2.6367884059086744,1.603368444706162,0.9706457535108486
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,6,42,1795,1.259649966637515,2.2951263129440296,1.4603992394451548,0.9762313938369318
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,6,2025,1795,1.2772243945335169,2.3193813160132053,1.4899126554655018,0.9757263637721418
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,6,20260623,1795,1.2997301719049226,2.349444761761024,1.508207462072863,0.9750930236775149
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,6,20260715,1795,1.3269643582739872,2.38630357114214,1.5381675670984778,0.9743053969448348
S2_rain,Medium,E5_full_fusion,E5_full_fusion_xgboost,6,20260718,1795,1.3057170803456144,2.3646224306628705,1.5143906473489617,0.9747701806780973
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,1,42,2685,1.3180841287983494,2.7778987824496144,1.9922023198676926,0.9820989230482409
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,1,2025,2685,1.310897594809458,2.7674558229073614,1.9931399046380895,0.9822332611610644
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,2685,1.3423478046135455,2.7870427800107276,2.021242650460114,0.9819808792882677
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,2685,1.34184830422286,2.753861869288765,2.016298482373996,0.9824073756230739
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,2685,1.326950056382694,2.792955026945057,1.9959769702847856,0.9819043490760452
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,3,42,2769,1.6658784180495716,3.3685085744004395,2.5467619516466233,0.97286954775239
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,3,2025,2769,1.6477510818035088,3.335078556628961,2.522152152980545,0.9734053759754129
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,3,20260623,2769,1.6549165642360524,3.342412051107523,2.531799239591315,0.9732882897045757
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,3,20260715,2769,1.6689985887631478,3.36357926440134,2.554400159130052,0.9729488923978966
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,3,20260718,2769,1.6455289708214778,3.3465677995407193,2.5202469405664347,0.9732218250340197
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,6,42,2911,1.9963062806622511,3.850580253061837,2.9520029232487093,0.9627410525724835
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,6,2025,2911,1.9495054835786145,3.7401588353166866,2.874431887348091,0.9648473301578752
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,6,20260623,2911,2.0010260514373237,3.8046027548006345,2.953326545874577,0.9636255144885888
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,6,20260715,2911,1.986059167744654,3.8136601312706384,2.939255535181324,0.9634521194775368
S2_rain,Low,E1_traffic_only,E1_traffic_only_xgboost,6,20260718,2911,1.9782634815918023,3.7971491449960646,2.912241275760754,0.963767897629253
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,1,42,2685,1.341501122539196,2.8154955075449166,2.041743572170431,0.981611089373218
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,2685,1.3550146840508128,2.8119801355064777,2.05089465156742,0.981656980766429
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,2685,1.3658244373930088,2.843927233959277,2.0708564946883263,0.9812378205722234
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,2685,1.3639367982661923,2.806517554597278,2.06645855417793,0.9817281782122673
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,2685,1.3601093845852852,2.817100192111302,2.063317949322183,0.9815901219732588
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,3,42,2769,1.7050449715289766,3.4293851730816316,2.5897092735702487,0.971880069005312
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,3,2025,2769,1.7080445083539177,3.4255781021428358,2.5843322703935816,0.9719424680327332
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,2769,1.7046900159459946,3.4387438195596687,2.591227732545289,0.9717263833956601
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,2769,1.70686488888016,3.4393637264937724,2.5960275355685067,0.9717161886316917
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,2769,1.7060273545764477,3.4259204147368676,2.597827341426929,0.9719368602631002
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,6,42,2911,2.157695058780916,3.981245936583865,3.1200316588504267,0.9601694561759634
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,6,2025,2911,2.1315592486356305,3.9407433130962315,3.0923927859839213,0.9609757542580231
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,2911,2.156756203381805,3.9431446836355977,3.1210352248959428,0.9609281793620519
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,2911,2.146006355036661,3.938949825874914,3.107697796925008,0.9610112671315623
S2_rain,Low,E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,2911,2.1547428819085677,3.962911629990878,3.126565651292595,0.9605354641626042
S2_rain,Low,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,2685,1.4840078269347576,2.8411241549638686,2.200671807571079,0.9812747877296076
S2_rain,Low,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,2685,1.4458491279322638,2.847867683115656,2.154600589369469,0.9811857920732907
