MAE_mean,MAE_std,MPIW_mean,MPIW_std,PICP_mean,PICP_std,PINAW_mean,PINAW_std,Pinball_Loss_mean,Pinball_Loss_std,R2_mean,R2_std,RMSE_mean,RMSE_std,delta_MAE,experiment,horizon,item,median_MAE_mean,median_MAE_std,model,relative_change_percent,sMAPE_mean,sMAPE_std,sample_count_per_seed,section,seed_count,split,variant
1.5228299980859816,0.0109074220690187,,,,,,,,,0.965718003528752,0.0001259412880909,2.970833927894412,0.0054537878988137,,,6,A4_without_environmental_lag_rolling,,,A4_without_environmental_lag_rolling_xgboost,,1.974454381598715,0.0128110400098565,13387.0,modality_ablation,5.0,test,A4_without_environmental_lag_rolling
1.2171550269157536,0.0152697486103791,,,,,,,,,0.97456914470948,0.000163331194236,2.5641833952935214,0.0082358110954018,,,1,A5_without_reliability,,,A5_without_reliability_xgboost,,1.5607456875563332,0.0176580543513351,13641.0,modality_ablation,5.0,test,A5_without_reliability
1.39467112286045,0.0157863091039731,,,,,,,,,0.968989831098933,0.0003739893633357,2.827577587989142,0.0170811288955487,,,3,A5_without_reliability,,,A5_without_reliability_xgboost,,1.8162063912141764,0.0211714413567439,13539.0,modality_ablation,5.0,test,A5_without_reliability
1.47887051152695,0.0299380338489132,,,,,,,,,0.967735690077556,0.0003816495642933,2.8820467988297063,0.0170353513025853,,,6,A5_without_reliability,,,A5_without_reliability_xgboost,,1.9238132807237052,0.036448870853798,13387.0,modality_ablation,5.0,test,A5_without_reliability
1.1992522608854872,0.0208045703963181,,,,,,,,,0.9752242871055056,0.0001708243789432,2.53093741455268,0.0087285607790743,,,1,A6_without_road_context,,,A6_without_road_context_xgboost,,1.5378785262679129,0.0224769926969084,13641.0,modality_ablation,5.0,test,A6_without_road_context
1.4340118559825532,0.0100647670102578,,,,,,,,,0.9688760830460592,0.0001350188961852,2.8327947531644457,0.0061497855456302,,,3,A6_without_road_context,,,A6_without_road_context_xgboost,,1.8639795243578188,0.0084816465066622,13539.0,modality_ablation,5.0,test,A6_without_road_context
1.5074664013440566,0.0242810074973196,,,,,,,,,0.9674729195145974,0.0004815424119045,2.893736272232141,0.0214013144154642,,,6,A6_without_road_context,,,A6_without_road_context_xgboost,,1.9529853759214968,0.0263214642327031,13387.0,modality_ablation,5.0,test,A6_without_road_context
0.999443819461626,0.0025867091530302,,,,,,,,,0.9768454627921332,9.678161089017043e-05,2.4467392285999745,0.0051169520037156,,,1,M0_traffic_only,,,M0_traffic_only_xgboost_frozen_anchor,,1.3175941170010574,0.0025993917229505,13641.0,meteorology_ablation,5.0,test,M0_traffic_only
1.1750325139711104,0.0024572489243733,,,,,,,,,0.9714922697914632,0.0001407600414694,2.711122036069916,0.0066882062780058,,,3,M0_traffic_only,,,M0_traffic_only_xgboost_frozen_anchor,,1.5935195747997284,0.0030451833453151,13539.0,meteorology_ablation,5.0,test,M0_traffic_only
1.2165797705586334,0.0047728181616153,,,,,,,,,0.9705628108832548,0.0003283052079018,2.752888784454187,0.0153628585153542,,,6,M0_traffic_only,,,M0_traffic_only_xgboost_frozen_anchor,,1.651903017640126,0.0084176500698078,13387.0,meteorology_ablation,5.0,test,M0_traffic_only
1.0058082861744542,0.0042568063580233,,,,,,,,,0.9762427952823112,6.28172793006891e-05,2.478379218730032,0.003275671104546,,,1,M1_temperature,,,M1_temperature_xgboost,,1.3271231069417395,0.0045079281088552,13641.0,meteorology_ablation,5.0,test,M1_temperature
