variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent,full_fusion_MAE,delta_MAE_vs_full
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,2025,test,13387,266,1.5260339297109893,2.972605801363231,1.9758659961753147,0.9656771907329377,1.2105098615797245,0.31552406813126477,26.06538601176726,1.4755648972138546,0.050469032497134636
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,20260623,test,13387,266,1.5311997181657853,2.968952886496968,1.9834938522386376,0.9657614947223928,1.2210236967858117,0.3101760213799736,25.40294854198753,1.5095473863033626,0.021652331862422658
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,20260715,test,13387,266,1.5168354614117994,2.9651431884644177,1.9680247847493295,0.965849306609809,1.2172144128169635,0.29962104859483585,24.615305688127012,1.5238901376670817,-0.007054676255282333
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,20260718,test,13387,266,1.5069241853792208,2.9681172375798277,1.956267105039749,0.9657807657209161,1.212974663518796,0.2939495218604249,24.233772617120287,1.5038806275368473,0.0030435578423735343
A5_without_reliability,A5_without_reliability_xgboost,1,42,test,13641,271,1.2098686244175891,2.554003294155443,1.5519942536004758,0.974770878889642,0.9980668375849404,0.21180178683264872,21.221202714755396,1.194628900955305,0.015239723462284083
A5_without_reliability,A5_without_reliability_xgboost,1,2025,test,13641,271,1.2442685517299281,2.5742401816401643,1.5920963276533453,0.9743694842498526,0.9971901876580412,0.24707836407188688,24.777456410011883,1.1563395121887399,0.08792903954118825
A5_without_reliability,A5_without_reliability_xgboost,1,20260623,test,13641,271,1.2110514826285559,2.56700796456507,1.552362552226378,0.9745132976102663,1.0032477383948817,0.2078037442336742,20.71310368126461,1.1619693847735297,0.04908209785502615
A5_without_reliability,A5_without_reliability_xgboost,1,20260715,test,13641,271,1.2077432916803106,2.5575928087339617,1.5507695508181576,0.9746999127032977,1.0009857405928273,0.20675755108748328,20.655394248177046,1.1645033523040913,0.04323993937621928
A5_without_reliability,A5_without_reliability_xgboost,1,20260718,test,13641,271,1.2128431841223843,2.568072727372969,1.5565057534833089,0.9744921500943411,0.9977285930774394,0.2151145910449449,21.560431618125296,1.1637247967632058,0.049118387359178506
A5_without_reliability,A5_without_reliability_xgboost,3,42,test,13539,269,1.3928619558515285,2.8177139932682485,1.8100039574502462,0.9692067016905765,1.178476248725019,0.2143857071265094,18.191771565905633,1.4073290782931942,-0.014467122441665703
A5_without_reliability,A5_without_reliability_xgboost,3,2025,test,13539,269,1.3954327924871948,2.8372028813503656,1.8174290383295308,0.9687792611812907,1.1733298926467683,0.22210289984042642,18.929279926501508,1.421765662269208,-0.026332869782013324
A5_without_reliability,A5_without_reliability_xgboost,3,20260623,test,13539,269,1.4109253380121753,2.8427986112229613,1.8420497051931748,0.9686559882898381,1.1734359243629475,0.23748941364922782,20.238805436109317,1.4244715538206165,-0.013546215808441175
A5_without_reliability,A5_without_reliability_xgboost,3,20260715,test,13539,269,1.369558404310652,2.8022929339530624,1.7849487493901355,0.9695428364696328,1.1768088351301655,0.19274956918048636,16.37900425511052,1.3944295520887193,-0.024871147778067426
A5_without_reliability,A5_without_reliability_xgboost,3,20260718,test,13539,269,1.4045771236407,2.837879520151074,1.8266005057077948,0.9687643678633265,1.173111668990652,0.23146545465004809,19.73089696134397,1.3932205844477834,0.011356539192916681
A5_without_reliability,A5_without_reliability_xgboost,6,42,test,13387,266,1.5048017017264486,2.9030441990637863,1.9588449302622961,0.9672647636440438,1.2211762180918702,0.2836254836345784,23.225598356128568,1.4872926561722186,0.01750904555422994
A5_without_reliability,A5_without_reliability_xgboost,6,2025,test,13387,266,1.433871367331452,2.863274782174299,1.872150816976575,0.9681555141366177,1.2105098615797245,0.22336150575172753,18.45185345786767,1.4755648972138546,-0.0416935298824026
A5_without_reliability,A5_without_reliability_xgboost,6,20260623,test,13387,266,1.507267138071113,2.8966350716595626,1.9584360325964212,0.9674091449836256,1.2210236967858117,0.2862434412853012,23.442906312039675,1.5095473863033626,-0.002280248232249704
A5_without_reliability,A5_without_reliability_xgboost,6,20260715,test,13387,266,1.4785601053522632,2.876225132616366,1.920168211748359,0.9678668028517968,1.2172144128169635,0.2613456925352997,21.470801674987978,1.5238901376670817,-0.04533003231481847
A5_without_reliability,A5_without_reliability_xgboost,6,20260718,test,13387,266,1.4698522451534735,2.871054808634519,1.9094664120348759,0.9679822247716954,1.212974663518796,0.25687758163467755,21.177489469523206,1.5038806275368473,-0.0340283823833738
A6_without_road_context,A6_without_road_context_xgboost,1,42,test,13641,271,1.213936109477362,2.529475623951066,1.5528440683479974,0.975253133668906,0.9980668375849404,0.21586927189242155,21.62873905466777,1.194628900955305,0.019307208522056918
A6_without_road_context,A6_without_road_context_xgboost,1,2025,test,13641,271,1.1949036217998923,2.5394504998633765,1.5352797185172469,0.9750575724754957,0.9971901876580412,0.19771343414185105,19.82705371441655,1.1563395121887399,0.03856410961115242
A6_without_road_context,A6_without_road_context_xgboost,1,20260623,test,13641,271,1.165347343321592,2.5188494642585715,1.5007989277579457,0.9754606168354054,1.0032477383948817,0.16209960492671027,16.15748520759758,1.1619693847735297,0.003377958548062221
A6_without_road_context,A6_without_road_context_xgboost,1,20260715,test,13641,271,1.2169314139464282,2.539428143360358,1.5576471138357901,0.9750580116437344,1.0009857405928273,0.21594567335360093,21.57330165619627,1.1645033523040913,0.05242806164233693
A6_without_road_context,A6_without_road_context_xgboost,1,20260718,test,13641,271,1.2051428158821615,2.527483341330027,1.5428228028805844,0.9752921009039861,0.9977285930774394,0.2074142228047221,20.788641745242987,1.1637247967632058,0.04141801911895571
A6_without_road_context,A6_without_road_context_xgboost,3,42,test,13539,269,1.42471057326361,2.836799129300507,1.858402361828641,0.9687881463692072,1.178476248725019,0.24623432453859095,20.894296750145728,1.4073290782931942,0.017381494970415856
A6_without_road_context,A6_without_road_context_xgboost,3,2025,test,13539,269,1.434980259532869,2.8323662636801052,1.8658766735324597,0.9688856152737771,1.1733298926467683,0.26165036688610055,22.29981256983713,1.421765662269208,0.01321459726366081
A6_without_road_context,A6_without_road_context_xgboost,3,20260623,test,13539,269,1.4412980277420255,2.833352761103339,1.8681862803159712,0.9688639375648793,1.1734359243629475,0.267862103379078,22.827160632950537,1.4244715538206165,0.016826473921409013
A6_without_road_context,A6_without_road_context_xgboost,3,20260715,test,13539,269,1.4230436828712458,2.8227841007371266,1.8528714799763024,0.9690957849717956,1.1768088351301655,0.2462348477410803,20.923946217130883,1.3944295520887193,0.028614130782526503
A6_without_road_context,A6_without_road_context_xgboost,3,20260718,test,13539,269,1.4460267365030155,2.83867151100115,1.8745608261357196,0.9687469310506357,1.173111668990652,0.2729150675123635,23.264201927782395,1.3932205844477834,0.05280615205523209
A6_without_road_context,A6_without_road_context_xgboost,6,42,test,13387,266,1.5011588830687377,2.885880889586052,1.94391921992437,0.9676506924075294,1.2211762180918702,0.2799826649768675,22.92729426178558,1.4872926561722186,0.013866226896519063
A6_without_road_context,A6_without_road_context_xgboost,6,2025,test,13387,266,1.4749829906542364,2.8730660391062948,1.9180955590167188,0.9679373508946723,1.2105098615797245,0.2644731290745119,21.84807720024457,1.4755648972138546,-0.000581906559618206
A6_without_road_context,A6_without_road_context_xgboost,6,20260623,test,13387,266,1.5172222681620906,2.9153858634583947,1.9699616413430285,0.9669858384551442,1.2210236967858117,0.2961985713762789,24.258216458532598,1.5095473863033626,0.007674881858728
A6_without_road_context,A6_without_road_context_xgboost,6,20260715,test,13387,266,1.5413051408320462,2.9177989639425466,1.9867192104173936,0.9669311633874834,1.2172144128169635,0.32409072801508265,26.625607173435366,1.5238901376670817,0.01741500316496447
A6_without_road_context,A6_without_road_context_xgboost,6,20260718,test,13387,266,1.5026627240031722,2.8765496050674164,1.9462312489059714,0.9678595524281579,1.212974663518796,0.28968806048437634,23.88244941934745,1.5038806275368473,-0.0012179035336750133
