variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
A5_without_reliability,A5_without_reliability_xgboost,3,20260623,test,13539,269,1.4109253380121753,2.8427986112229613,1.8420497051931748,0.9686559882898381
A5_without_reliability,A5_without_reliability_xgboost,3,20260715,test,13539,269,1.369558404310652,2.8022929339530624,1.7849487493901355,0.9695428364696328
A5_without_reliability,A5_without_reliability_xgboost,3,20260718,test,13539,269,1.4045771236407,2.837879520151074,1.8266005057077948,0.9687643678633265
A5_without_reliability,A5_without_reliability_xgboost,6,42,test,13387,266,1.5048017017264486,2.9030441990637863,1.9588449302622961,0.9672647636440438
A5_without_reliability,A5_without_reliability_xgboost,6,2025,test,13387,266,1.433871367331452,2.863274782174299,1.872150816976575,0.9681555141366177
A5_without_reliability,A5_without_reliability_xgboost,6,20260623,test,13387,266,1.507267138071113,2.8966350716595626,1.9584360325964212,0.9674091449836256
A5_without_reliability,A5_without_reliability_xgboost,6,20260715,test,13387,266,1.4785601053522632,2.876225132616366,1.920168211748359,0.9678668028517968
A5_without_reliability,A5_without_reliability_xgboost,6,20260718,test,13387,266,1.4698522451534735,2.871054808634519,1.9094664120348759,0.9679822247716954
A6_without_road_context,A6_without_road_context_xgboost,1,42,test,13641,271,1.213936109477362,2.529475623951066,1.5528440683479974,0.975253133668906
A6_without_road_context,A6_without_road_context_xgboost,1,2025,test,13641,271,1.1949036217998923,2.5394504998633765,1.5352797185172469,0.9750575724754957
A6_without_road_context,A6_without_road_context_xgboost,1,20260623,test,13641,271,1.165347343321592,2.5188494642585715,1.5007989277579457,0.9754606168354054
A6_without_road_context,A6_without_road_context_xgboost,1,20260715,test,13641,271,1.2169314139464282,2.539428143360358,1.5576471138357901,0.9750580116437344
A6_without_road_context,A6_without_road_context_xgboost,1,20260718,test,13641,271,1.2051428158821615,2.527483341330027,1.5428228028805844,0.9752921009039861
A6_without_road_context,A6_without_road_context_xgboost,3,42,test,13539,269,1.42471057326361,2.836799129300507,1.858402361828641,0.9687881463692072
A6_without_road_context,A6_without_road_context_xgboost,3,2025,test,13539,269,1.434980259532869,2.8323662636801052,1.8658766735324597,0.9688856152737771
A6_without_road_context,A6_without_road_context_xgboost,3,20260623,test,13539,269,1.4412980277420255,2.833352761103339,1.8681862803159712,0.9688639375648793
A6_without_road_context,A6_without_road_context_xgboost,3,20260715,test,13539,269,1.4230436828712458,2.8227841007371266,1.8528714799763024,0.9690957849717956
A6_without_road_context,A6_without_road_context_xgboost,3,20260718,test,13539,269,1.4460267365030155,2.83867151100115,1.8745608261357196,0.9687469310506357
A6_without_road_context,A6_without_road_context_xgboost,6,42,test,13387,266,1.5011588830687377,2.885880889586052,1.94391921992437,0.9676506924075294
A6_without_road_context,A6_without_road_context_xgboost,6,2025,test,13387,266,1.4749829906542364,2.8730660391062948,1.9180955590167188,0.9679373508946723
A6_without_road_context,A6_without_road_context_xgboost,6,20260623,test,13387,266,1.5172222681620906,2.9153858634583947,1.9699616413430285,0.9669858384551442
A6_without_road_context,A6_without_road_context_xgboost,6,20260715,test,13387,266,1.5413051408320462,2.9177989639425466,1.9867192104173936,0.9669311633874834
A6_without_road_context,A6_without_road_context_xgboost,6,20260718,test,13387,266,1.5026627240031722,2.8765496050674164,1.9462312489059714,0.9678595524281579
