scenario,experiment,model,horizon,seed_count,sample_count_mean,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,8035.0,1.0915346109975401,0.008745565829581537,2.3506920498114243,0.007077933772809795,1.4384530595767577,0.0091943398520823,0.9795401070380209,0.0001231649974270264
S3_widespread_rain,E5_full_fusion,E5_full_fusion_xgboost,1,5,8035.0,1.1382986897799119,0.018827875938672727,2.39474623241817,0.005336623333191455,1.4958470697079114,0.01970491754119495,0.9787661153812224,9.458606363309682e-05
S4_post_rain_1_3h,E1_traffic_only,E1_traffic_only_xgboost,1,5,2268.0,1.5941339020726262,0.006776604007770464,3.3821164866618973,0.019568789465322832,2.0509648539231753,0.007776491971848935,0.9599759564511059,0.00046343242598941096
S4_post_rain_1_3h,E3_meteorology,E3_meteorology_aware_xgboost,1,5,2268.0,1.5847869177834557,0.008400649799194516,3.480967293669199,0.007251281026609344,2.048233159003859,0.010458915654346692,0.957603148921325,0.00017653511167931224
S4_post_rain_1_3h,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,2268.0,1.7700169709624434,0.013972023685807354,3.475105565229505,0.018388979063870076,2.238432612173444,0.01355550975601675,0.9577450160717028,0.0004469243587536457
S4_post_rain_1_3h,E5_full_fusion,E5_full_fusion_xgboost,1,5,2268.0,1.6725117285906184,0.01608364973075303,3.480368123857346,0.009109080413917474,2.1353905379287026,0.017814033972600833,0.9576176578557598,0.0002218720379881901
S5_post_rain_4_6h,E1_traffic_only,E1_traffic_only_xgboost,1,5,1230.0,1.4353028109997592,0.007696267877522295,3.2359070607453986,0.013369913736197498,1.7627712809197995,0.00956829634244107,0.9527237710658376,0.0003909971258790815
S5_post_rain_4_6h,E3_meteorology,E3_meteorology_aware_xgboost,1,5,1230.0,1.4862764477406736,0.010436435253182804,3.250622519979715,0.005886588427299887,1.8094733593755232,0.01312022276224136,0.9522933374266636,0.0001727751690792735
S5_post_rain_4_6h,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,1230.0,1.6814122335956025,0.029158692838446656,3.295067875432211,0.031227871364882157,2.020386224865922,0.02598036605990976,0.9509764506747974,0.0009245993030913745
S5_post_rain_4_6h,E5_full_fusion,E5_full_fusion_xgboost,1,5,1230.0,1.5862922574175085,0.014174908671201743,3.2810233756197285,0.02167836762378425,1.9215960573608974,0.017453024780951,0.951395259056888,0.0006419557961105223
S6_elevated_pm2_5,E1_traffic_only,E1_traffic_only_xgboost,1,5,2574.0,1.037212604363636,0.0019147560262636118,2.2981466645803286,0.0070309819345535,1.4712977708830772,0.0021851468542754605,0.9837849058627492,9.916117225753565e-05
S6_elevated_pm2_5,E3_meteorology,E3_meteorology_aware_xgboost,1,5,2574.0,1.0124506823567645,0.005036823904935243,2.253369422889576,0.008238981829558192,1.4451019408935748,0.005088472107856157,0.9844105720885153,0.0001138454004550505
S6_elevated_pm2_5,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,2574.0,1.14023978572471,0.034950137065783135,2.3425136404883466,0.025711087838698885,1.6048430200708617,0.033897354065044856,0.9831512824466679,0.0003713821078110349
S6_elevated_pm2_5,E5_full_fusion,E5_full_fusion_xgboost,1,5,2574.0,1.0606724089113917,0.01655205891968698,2.2983553172979687,0.008732059387812675,1.5211835733262513,0.017816446833109543,0.9837818954991958,0.0001233478378511704
S7_elevated_aod,E1_traffic_only,E1_traffic_only_xgboost,1,5,3548.0,1.1474594939503173,0.004540742325060555,2.790959559644309,0.01129579176307902,1.5533694955191646,0.004862635402510778,0.9735704823263962,0.00021364062605026864
S7_elevated_aod,E3_meteorology,E3_meteorology_aware_xgboost,1,5,3548.0,1.133746156932626,0.0077269314786714395,2.791452546263403,0.007807044673244997,1.5412778278485688,0.007808076043274541,0.9735613256627076,0.00014778976693444217
S7_elevated_aod,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,3548.0,1.273918006062642,0.017406088960444318,2.8005606928499716,0.02070084213790356,1.6984492286243082,0.019410757966874973,0.973387515629933,0.0003945106939476913
S7_elevated_aod,E5_full_fusion,E5_full_fusion_xgboost,1,5,3548.0,1.2180915579066514,0.01548841965389572,2.7832608723758367,0.009429075715045554,1.6415680278831062,0.014606837264646766,0.973716192668879,0.00017808407086113284
S8_rain_elevated_atmospheric_pollution,E1_traffic_only,E1_traffic_only_xgboost,1,5,1917.0,0.8866590580470126,0.008983007511041637,2.32468355305536,0.01192714207782652,1.3131867900684635,0.013001636214902256,0.9828062515779376,0.0001764478009979586
S8_rain_elevated_atmospheric_pollution,E3_meteorology,E3_meteorology_aware_xgboost,1,5,1917.0,0.895416800416546,0.006778551905071399,2.366110293571022,0.010069257636059781,1.335723130472906,0.009746357223233684,0.9821881102589755,0.00015152968329606832
S8_rain_elevated_atmospheric_pollution,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,1917.0,1.0380107113515329,0.015673960488281232,2.3984620919541504,0.018915044218952938,1.4877392540841696,0.016685075552600577,0.981697051336179,0.0002893200379451126
S8_rain_elevated_atmospheric_pollution,E5_full_fusion,E5_full_fusion_xgboost,1,5,1917.0,1.0163668441971454,0.017634927980222957,2.365354069554121,0.005986476720888437,1.4703945645243952,0.016288260959416496,0.982199660706631,8.99725963995733e-05
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,5,5322.0,1.175728409537901,0.0025150383001322526,2.6995008416094546,0.013166883070650167,1.625782904691007,0.0042083835760410755,0.9722773755853987,0.00027032795331950326
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,5,5322.0,1.2157963107765042,0.005493118815536766,2.677121342281997,0.004617623735377234,1.6605944352440367,0.007067650906851745,0.9727355784772957,9.40778500876472e-05
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,5322.0,1.3906559777884024,0.020175622782020283,2.737385838099247,0.01725361073192474,1.8190050573555703,0.02048898846231734,0.9714934292698671,0.0003596145678297048
S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,5,5322.0,1.3538962445121114,0.016385603928943802,2.7602947637650064,0.007170045759801939,1.7926073284103061,0.018632077002031004,0.9710150598005178,0.00015061287267749212
S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,5,8217.0,1.1745817951921818,0.00475140747725625,2.71860167928717,0.010099478230065751,1.5726232085247633,0.006431015433792605,0.9709619448284255,0.00021583943495717526
S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,5,8217.0,1.2465230910435956,0.004158930961643894,2.766896291843165,0.0032245024713578657,1.651951179266025,0.005847561374829293,0.969921387135637,7.012457057256883e-05
S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,8217.0,1.3851158771605423,0.0120626368434358,2.8394614576499047,0.01687184611801786,1.7951290431436404,0.013818305172608352,0.968322143138959,0.000376056407589632
S2_rain,E5_full_fusion,E5_full_fusion_xgboost,3,5,8217.0,1.44344286702573,0.020449609365027804,2.8700754322388744,0.01002917733497144,1.8668296950991958,0.020413104002836874,0.9676359819839364,0.00022607917100139115
S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,3,5,8127.0,1.2284078029831118,0.004955097970006932,2.8081760344954807,0.009862793815329535,1.6528967919759043,0.00688507939065132,0.9704893383800994,0.00020735326685218715
S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,5,8127.0,1.301596512748925,0.004447019812288569,2.8617463842782045,0.002732900861644444,1.7346080744184924,0.006493340560335835,0.9693529550238484,5.855359796663264e-05
S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,8127.0,1.437840243083293,0.012358722652005062,2.9266192635073267,0.01423529232719431,1.873033763083244,0.015671817037004186,0.9679471480916384,0.00031129498466172406
S3_widespread_rain,E5_full_fusion,E5_full_fusion_xgboost,3,5,8127.0,1.503733489634753,0.021264241609947162,2.9609680456178316,0.009391169081258326,1.955807104400185,0.021534234107701635,0.9671907019065064,0.00020808142026269624
S4_post_rain_1_3h,E1_traffic_only,E1_traffic_only_xgboost,3,5,2201.0,1.555587572129264,0.0037375383311883735,3.229451650021251,0.019361198002422236,2.031953279826027,0.004236180952451101,0.9603887481469169,0.0004747390867371604
S4_post_rain_1_3h,E3_meteorology,E3_meteorology_aware_xgboost,3,5,2201.0,1.586071701084468,0.005666860244963521,3.1863329051937583,0.009927975287267932,2.056677729061131,0.005730060912720097,0.9614402529164024,0.0002398064569607492
S4_post_rain_1_3h,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,2201.0,1.7821269047673716,0.010506984580151297,3.2893689703811058,0.021808055183439885,2.2458129181051123,0.011057623351672093,0.9589050023012536,0.0005470614947532621
S4_post_rain_1_3h,E5_full_fusion,E5_full_fusion_xgboost,3,5,2201.0,1.782382347572577,0.03431095688221511,3.34619449303192,0.01733984177428897,2.2567914014077712,0.03391302923607201,0.9574734456188052,0.0004392807029714388
S5_post_rain_4_6h,E1_traffic_only,E1_traffic_only_xgboost,3,5,1140.0,1.171244152359098,0.0022985989523715907,2.9164397645088393,0.017852055682424598,1.6053803786848135,0.005950764992115119,0.9570032549159805,0.0005266743086433511
S5_post_rain_4_6h,E3_meteorology,E3_meteorology_aware_xgboost,3,5,1140.0,1.2084526218168918,0.007084846724321199,2.8551301093394477,0.007027856515752725,1.6212294450641132,0.008524647617835956,0.9587930516536891,0.00020280809058815464
