scenario,experiment,model,horizon,seed,sample_count,unique_hours,unique_dates,independent_events,MAE,RMSE,sMAPE,R2
S4_post_rain_1_3h,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,2268,123,13,24,1.7810079085693717,3.4787062352896334,2.2492258838489296,0.9576583556769445
S4_post_rain_1_3h,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,2268,123,13,24,1.7706746628955838,3.488279908401459,2.236458336223662,0.9574249799144777
S4_post_rain_1_3h,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,2268,123,13,24,1.756458424316442,3.450954747619667,2.223416549212733,0.9583312245929164
S4_post_rain_1_3h,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,2268,123,13,24,1.7555774753756692,3.4621257317470566,2.227930944836596,0.9580610184264634
S4_post_rain_1_3h,E5_full_fusion,E5_full_fusion_xgboost,1,42,2268,123,13,24,1.698596445270877,3.4866556759419063,2.1636061040779304,0.9574646187232868
S4_post_rain_1_3h,E5_full_fusion,E5_full_fusion_xgboost,1,2025,2268,123,13,24,1.6559584016031828,3.491972615056407,2.1207139070079752,0.957334792039978
S4_post_rain_1_3h,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,2268,123,13,24,1.6649647953228555,3.4750315267355543,2.1238505784165156,0.9577477630670137
S4_post_rain_1_3h,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,2268,123,13,24,1.6747894270289723,3.4690701929250523,2.142222682713331,0.9578926041367183
S4_post_rain_1_3h,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,2268,123,13,24,1.6682495737272034,3.4791106086278094,2.1265594174277602,0.9576485113118027
S5_post_rain_4_6h,E1_traffic_only,E1_traffic_only_xgboost,1,42,1230,69,11,13,1.4357277272128801,3.2459046957131,1.7653897696573218,0.9524318408371791
S5_post_rain_4_6h,E1_traffic_only,E1_traffic_only_xgboost,1,2025,1230,69,11,13,1.4484817023135137,3.2540914107692114,1.7773441954555176,0.9521915885184186
S5_post_rain_4_6h,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,1230,69,11,13,1.4305175977670728,3.226017599416645,1.7529303441285473,0.9530129389802087
S5_post_rain_4_6h,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,1230,69,11,13,1.4316948747505662,3.2236555270927236,1.7624963522660715,0.9530817211247711
S5_post_rain_4_6h,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,1230,69,11,13,1.4300921529547632,3.229866070735312,1.7556957430915388,0.9529007658686105
S5_post_rain_4_6h,E3_meteorology,E3_meteorology_aware_xgboost,1,42,1230,69,11,13,1.485255918011756,3.243802396614801,1.809150796956617,0.9524934385258413
S5_post_rain_4_6h,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,1230,69,11,13,1.4887217534589898,3.2539966008366448,1.8085965332210137,0.9521943743321312
S5_post_rain_4_6h,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,1230,69,11,13,1.4796824292438786,3.2454114166548673,1.806838844039898,0.9524462975732921
S5_post_rain_4_6h,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,1230,69,11,13,1.502495842703636,3.2577866267136195,1.8297396714014265,0.9520829482330376
S5_post_rain_4_6h,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,1230,69,11,13,1.4752262952851085,3.252115559078642,1.7930409512586614,0.9522496284690153
S5_post_rain_4_6h,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,1230,69,11,13,1.7160893452135204,3.317882818950241,2.04873568250124,0.9502987966669229
S5_post_rain_4_6h,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,1230,69,11,13,1.684519081219102,3.317287195587695,2.0261899779232713,0.9503166396965277
S5_post_rain_4_6h,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,1230,69,11,13,1.681543883036792,3.2945355948179094,2.023146675725747,0.9509958088926669
S5_post_rain_4_6h,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,1230,69,11,13,1.6895648412523554,3.303606520091346,2.02615348428007,0.9507255885307705
S5_post_rain_4_6h,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,1230,69,11,13,1.635344017256243,3.242027247713863,1.977705303899281,0.9525454195870993
S5_post_rain_4_6h,E5_full_fusion,E5_full_fusion_xgboost,1,42,1230,69,11,13,1.585145470017017,3.2769612398984536,1.9179862017368001,0.95151722988588
S5_post_rain_4_6h,E5_full_fusion,E5_full_fusion_xgboost,1,2025,1230,69,11,13,1.5831358415970636,3.30649396450602,1.9219013898274309,0.9506394164637227
S5_post_rain_4_6h,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,1230,69,11,13,1.6101229246392808,3.2973808536338742,1.950258007899384,0.9509111293920041
S5_post_rain_4_6h,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,1230,69,11,13,1.5724131617765764,3.2513271131092885,1.9033360785756768,0.9522727789527575
S5_post_rain_4_6h,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,1230,69,11,13,1.580643889057604,3.2729537069510046,1.9144986087651943,0.9516357405900757
S6_elevated_pm2_5,E1_traffic_only,E1_traffic_only_xgboost,1,42,2574,120,13,14,1.0368473571682495,2.3042243475326867,1.4726468768788343,0.9836991495802868
S6_elevated_pm2_5,E1_traffic_only,E1_traffic_only_xgboost,1,2025,2574,120,13,14,1.0354830422014871,2.300054754973057,1.469675610107332,0.9837580903768133
S6_elevated_pm2_5,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,2574,120,13,14,1.0353921314744372,2.2885021986384033,1.4683750693928825,0.9839208381148722
S6_elevated_pm2_5,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,2574,120,13,14,1.038640371587912,2.293373849020612,1.4721887680314207,0.9838523082005083
S6_elevated_pm2_5,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,2574,120,13,14,1.0397001193860935,2.3045781727368837,1.473602530004917,0.983694143041266
S6_elevated_pm2_5,E3_meteorology,E3_meteorology_aware_xgboost,1,42,2574,120,13,14,1.0178256469821412,2.2574829356765145,1.4507301436332682,0.9843537706508774
S6_elevated_pm2_5,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,2574,120,13,14,1.0145213084898905,2.2539087453537916,1.4427666374914616,0.9844032756376366
S6_elevated_pm2_5,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,2574,120,13,14,1.009126794514215,2.262105814318185,1.4456261383347322,0.9842896242710848
S6_elevated_pm2_5,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,2574,120,13,14,1.0153273502676883,2.253321282277673,1.4486192559674838,0.984411404898082
S6_elevated_pm2_5,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,2574,120,13,14,1.0054523115298872,2.2400283368217155,1.4377675290409282,0.9845947849848959
S6_elevated_pm2_5,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,2574,120,13,14,1.0970328012114205,2.320903299210985,1.5618456587668739,0.9834623105832356
S6_elevated_pm2_5,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,2574,120,13,14,1.1936902753370038,2.3837879426630426,1.6541277273301531,0.9825539956181945
S6_elevated_pm2_5,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,2574,120,13,14,1.140661533358677,2.336821128801237,1.6052620914790257,0.9832346864102784
S6_elevated_pm2_5,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,2574,120,13,14,1.1276546324142303,2.3486363081462134,1.5893303836901633,0.9830647239320079
S6_elevated_pm2_5,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,2574,120,13,14,1.1421596863022188,2.3224195236202574,1.6136492390880917,0.9834406956896232
S6_elevated_pm2_5,E5_full_fusion,E5_full_fusion_xgboost,1,42,2574,120,13,14,1.0887090665693264,2.303710504935254,1.5507922160311902,0.9837064189569826
S6_elevated_pm2_5,E5_full_fusion,E5_full_fusion_xgboost,1,2025,2574,120,13,14,1.0454562775306335,2.3109367798200893,1.5059959259249764,0.9836040392860098
S6_elevated_pm2_5,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,2574,120,13,14,1.0602287228259974,2.2947847649840925,1.5197560153349146,0.9838324335129464
S6_elevated_pm2_5,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,2574,120,13,14,1.0536157010781644,2.29015173339215,1.5208477850462796,0.9838976502890596
S6_elevated_pm2_5,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,2574,120,13,14,1.055352276552838,2.292192803358256,1.5085259242938955,0.9838689354509803
S7_elevated_aod,E1_traffic_only,E1_traffic_only_xgboost,1,42,3548,106,9,11,1.147099583671309,2.798042282299872,1.5536090177947925,0.9734365178604406
S7_elevated_aod,E1_traffic_only,E1_traffic_only_xgboost,1,2025,3548,106,9,11,1.1496304991190616,2.802325366279402,1.5573646804703478,0.9733551318823875
S7_elevated_aod,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,3548,106,9,11,1.1495113875264737,2.7882544372989746,1.553871165122712,0.9736220364962449
S7_elevated_aod,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,3548,106,9,11,1.1512707759365468,2.7730931573890136,1.5567932719426911,0.9739081197028369
S7_elevated_aod,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,3548,106,9,11,1.1397852234981958,2.793082554954283,1.5452093422652788,0.9735306056900713
S7_elevated_aod,E3_meteorology,E3_meteorology_aware_xgboost,1,42,3548,106,9,11,1.1346644924440494,2.794718247570442,1.5423151678208966,0.9734995944546532
S7_elevated_aod,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,3548,106,9,11,1.1377564206960191,2.779482840204842,1.5440973576651207,0.9737877408305011
S7_elevated_aod,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,3548,106,9,11,1.1222341297354657,2.8007648580566302,1.5289814139679543,0.9733847986436158
S7_elevated_aod,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,3548,106,9,11,1.1428558943102296,2.789932467518236,1.550397785443172,0.9735902773149462
S7_elevated_aod,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,3548,106,9,11,1.131219847477365,2.792364317966866,1.5405974143457004,0.9735442170698214
S7_elevated_aod,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,3548,106,9,11,1.2502931083068505,2.781053088696939,1.6737793534706276,0.9737581156165638
S7_elevated_aod,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,3548,106,9,11,1.2934430119866764,2.8338154845783525,1.719010185657165,0.9727529432000547
