test_set,stratum_type,stratum,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,2025,8217,1.3837862145145845,2.8566248431394325,1.7935980023354927,0.967938931861904
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260623,8217,1.3777590551984118,2.853164188848755,1.7853517401223948,0.9680165654838281
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260715,8217,1.3801399207125813,2.830312072079404,1.7911055356336043,0.9685268496050888
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,8217,1.3776634233021396,2.8156267547724187,1.7864836070428394,0.9688526045917469
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,6,42,8264,1.5329948597317478,2.9286846219049263,1.9445597013799973,0.9652729382759576
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,6,2025,8264,1.4952992613756415,2.9116161637505384,1.9132271985401221,0.9656765393671366
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260623,8264,1.5178476637969214,2.918426025996685,1.9329038823128217,0.9655157960783093
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260715,8264,1.509691670095586,2.899821698128218,1.919031896163399,0.965954053236465
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260718,8264,1.505840080959176,2.92541066689899,1.9228486589367555,0.9653505371320525
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,1,42,8149,1.1130980492223332,2.247901838739305,1.4305362652591855,0.9801123835555332
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,1,2025,8149,1.0711009474772393,2.2442641787720032,1.3875428546506705,0.9801766976188997
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,8149,1.065116942742707,2.2376866132273987,1.379967487589527,0.9802927249543615
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,8149,1.075841270025783,2.2370426240787857,1.3911032059291422,0.9803040665291625
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,8149,1.082564362111538,2.227409418228374,1.3987565997875937,0.980473331485378
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,3,42,8217,1.4500157821783406,2.8786460333617416,1.8772805165551292,0.9674427209705705
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,3,2025,8217,1.4497414966088213,2.8592688434608196,1.8714045612067034,0.9678795550034986
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,3,20260623,8217,1.47035997896851,2.87913226968264,1.892341291620956,0.967431721446232
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,3,20260715,8217,1.4174752105617567,2.859357075795988,1.8408974440691266,0.9678775726046749
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,3,20260718,8217,1.4296218668112217,2.8739729388931834,1.8522246620440637,0.9675483398947057
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,6,42,8264,1.6057784072811967,2.947665127672094,2.021549200376666,0.9648213545917408
Test-A_all,scenario,S2_rain,E5_full_fusion,E5_full_fusion_xgboost,6,2025,8264,1.6069500394158305,2.9577536835105804,2.0281953723610875,0.9645801405806105
