feature,dtype,group,role,included_as_predictor,missing_count,imputation_rule
lane_count_missing_flag,bool,road,predictor,True,0,training-only median if required
urban_rural,object,road,predictor,True,0,training-only median if required
distance_to_nearest_junction,float64,road,predictor,True,0,training-only median if required
osm_bridge_tagged,bool,road,predictor,True,0,training-only median if required
distance_to_settlement,float64,road,predictor,True,0,training-only median if required
distance_to_major_intersection,float64,road,predictor,True,0,training-only median if required
target_timestamp_h1,datetime64[us],identifier_target_or_protocol,metadata_or_target,False,0,not applicable
target_split_h1,string,identifier_target_or_protocol,metadata_or_target,False,51,not applicable
target_available_h1,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable
sample_id_h1,string,identifier_target_or_protocol,metadata_or_target,False,3987,not applicable
target_speed_h1,float64,identifier_target_or_protocol,metadata_or_target,False,3987,not applicable
target_uq_partition_h1,string,identifier_target_or_protocol,metadata_or_target,False,51,not applicable
uq_sample_available_h1,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable
target_timestamp_h3,datetime64[us],identifier_target_or_protocol,metadata_or_target,False,0,not applicable
target_split_h3,string,identifier_target_or_protocol,metadata_or_target,False,153,not applicable
target_available_h3,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable
sample_id_h3,string,identifier_target_or_protocol,metadata_or_target,False,4284,not applicable
target_speed_h3,float64,identifier_target_or_protocol,metadata_or_target,False,4284,not applicable
target_uq_partition_h3,string,identifier_target_or_protocol,metadata_or_target,False,153,not applicable
uq_sample_available_h3,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable
target_timestamp_h6,datetime64[us],identifier_target_or_protocol,metadata_or_target,False,0,not applicable
target_split_h6,string,identifier_target_or_protocol,metadata_or_target,False,306,not applicable
target_available_h6,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable
sample_id_h6,string,identifier_target_or_protocol,metadata_or_target,False,4740,not applicable
target_speed_h6,float64,identifier_target_or_protocol,metadata_or_target,False,4740,not applicable
target_uq_partition_h6,string,identifier_target_or_protocol,metadata_or_target,False,306,not applicable
uq_sample_available_h6,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable
causal_input_available,bool,identifier_target_or_protocol,metadata_or_target,False,0,not applicable
imputation_class,object,identifier_target_or_protocol,metadata_or_target,False,0,not applicable
sample_eligible_h1,bool,identifier_target_or_protocol,metadata_or_target,False,0,not applicable
sample_eligible_h3,bool,identifier_target_or_protocol,metadata_or_target,False,0,not applicable
sample_eligible_h6,bool,identifier_target_or_protocol,metadata_or_target,False,0,not applicable
