experiment,horizon,feature,training_median,train_missing_count,validation_missing_count,test_missing_count,fit_scope
E2_rainfall,3,speed_drop_input,0.0,0,0,0,training_only
E2_rainfall,3,travel_time_delay_input,0.0,0,0,0,training_only
E2_rainfall,3,speed_deficit_ratio_input,0.0,0,0,0,training_only
E2_rainfall,3,missing_mask,0.0,0,0,0,training_only
E2_rainfall,3,gap_length_steps,0.0,0,0,0,training_only
E2_rainfall,3,coverage_ratio_6h,1.0,0,0,0,training_only
E2_rainfall,3,coverage_ratio_24h,1.0,0,0,0,training_only
E2_rainfall,3,volatility_tti_3h,0.0,0,0,0,training_only
E2_rainfall,3,volatility_tti_6h,0.0,0,0,0,training_only
E2_rainfall,3,confidence_input,1.0,0,0,0,training_only
E2_rainfall,3,reliability_score,0.9895833333333331,0,0,0,training_only
E2_rainfall,3,hour_sin,0.0,0,0,0,training_only
E2_rainfall,3,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E2_rainfall,3,dayofweek_sin,0.0,0,0,0,training_only
E2_rainfall,3,dayofweek_cos,-0.2225209339563143,0,0,0,training_only
E2_rainfall,3,is_weekend,0.0,0,0,0,training_only
E2_rainfall,3,is_public_holiday,0.0,0,0,0,training_only
E2_rainfall,3,is_school_holiday,0.0,0,0,0,training_only
E2_rainfall,3,is_holiday_eve,0.0,0,0,0,training_only
E2_rainfall,3,is_day_after_holiday,0.0,0,0,0,training_only
E2_rainfall,3,precipitation,0.0,0,0,0,training_only
E2_rainfall,3,rain_flag,0.0,0,0,0,training_only
E2_rainfall,3,rain_lag_1h,0.0,0,0,0,training_only
E2_rainfall,3,rain_lag_3h,0.0,0,0,0,training_only
E2_rainfall,3,rain_lag_6h,0.0,0,0,0,training_only
E2_rainfall,3,rain_sum_3h,0.2,0,0,0,training_only
E2_rainfall,3,rain_sum_6h,0.5999999999999972,0,0,0,training_only
E2_rainfall,3,rain_sum_12h,1.8000000000000023,0,0,0,training_only
E2_rainfall,3,rain_sum_24h,5.6000000000000005,0,0,0,training_only
E2_rainfall,3,rain_max_3h,0.1,0,0,0,training_only
E2_rainfall,3,rain_max_6h,0.3,0,0,0,training_only
E2_rainfall,3,post_rain_1_3h,0.0,0,0,0,training_only
E2_rainfall,3,post_rain_4_6h,0.0,0,0,0,training_only
E2_rainfall,3,post_rain_7_12h,0.0,0,0,0,training_only
E2_rainfall,3,rain_missing_flag,0.0,0,0,0,training_only
E2_rainfall,6,current_speed_input,94.0,0,0,0,training_only
E2_rainfall,6,free_flow_speed_input,94.0,0,0,0,training_only
E2_rainfall,6,current_travel_time_input,807.0,0,0,0,training_only
E2_rainfall,6,tti_input,1.0,0,0,0,training_only
