node_id,N001,N007,N002,N003,N005,N006,N004,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N019,N018,N021,N024,N023,N020,N022,N025,N026,N028,N027,N029,N030,N031,N032,N033,N034,N035,N036,N037,N038,N039,N040,N041,N042,N043,N044,N045,N046,N047,N048,N049,N050,N051
N011,11.473154726028412,9.349250470743188,8.851234867691314,8.328373975777989,7.37646824815647,7.267450671720267,6.4258158406706185,6.210954444865858,4.117102016711072,1.942271467836342,0.0,3.135258259174556,6.139344801702851,9.341290065021063,11.351444031420336,12.307206083242555,14.389922739464627,15.502934393640615,17.846564790736597,18.88176829227994,19.844710349802007,21.90993048926925,22.961544211591324,23.985563395255838,25.073250654057794,28.12775698826215,29.071763676889738,31.198672669363326,32.212009164917134,35.31204842215845,37.50725256661761,39.70307912789726,41.78810452536953,43.76115609226762,45.8777826519043,48.986041603342564,49.99749476304931,52.075744708207154,55.03044227103436,58.15009910222804,61.28558986052764,64.43231320801684,66.45723529895804,68.48485581544502,71.56643625002104,73.57305862951844,75.70769681998011,78.64601644224597,80.90758539287263,82.93145177721523,84.2168402387719
N012,14.608412985202968,12.484508729917744,11.98649312686587,11.463632234952545,10.511726507331026,10.402708930894823,9.561074099845175,9.346212704040415,7.252360275885628,5.077529727010898,3.135258259174556,0.0,3.004086542528295,6.206031805846507,8.21618577224578,9.171947824067999,11.25466448029007,12.367676134466059,14.711306531562041,15.746510033105384,16.70945209062745,18.774672230094694,19.826285952416768,20.850305136081282,21.93799239488324,24.992498729087593,25.936505417715182,28.06341441018877,29.07675090574258,32.17679016298389,34.37199430744305,36.567820868722706,38.65284626619498,40.62589783309306,42.74252439272974,45.85078334416801,46.862236503874755,48.9404864490326,51.895184011859804,55.014840843053484,58.15033160135308,61.29705494884228,63.321977039783484,65.34959755627045,68.43117799084649,70.4378003703439,72.57243856080555,75.5107581830714,77.77232713369807,79.79619351804067,81.08158197959733
N013,17.612499527731263,15.48859527244604,14.990579669394165,14.46771877748084,13.515813049859322,13.406795473423118,12.56516064237347,12.35029924656871,10.256446818413924,8.081616269539193,6.139344801702851,3.004086542528295,0.0,3.201945263318212,5.212099229717484,6.167861281539704,8.250577937761776,9.363589591937764,11.707219989033746,12.742423490577089,13.705365548099156,15.770585687566399,16.822199409888473,17.846218593552987,18.933905852354943,21.988412186559298,22.932418875186887,25.059327867660475,26.072664363214283,29.172703620455597,31.367907764914758,33.56373432619441,35.648759723666686,37.621811290564764,39.73843785020145,42.84669680163971,43.858149961346456,45.936399906504306,48.89109746933151,52.01075430052519,55.14624505882479,58.29296840631399,60.31789049725519,62.34551101374217,65.4270914483182,67.4337138278156,69.56835201827727,72.50667164054312,74.76824059116979,76.79210697551238,78.07749543706905
N014,20.814444791049475,18.69054053576425,18.192524932712377,17.669664040799052,16.717758313177534,16.608740736741332,15.767105905691682,15.552244509886922,13.458392081732136,11.283561532857405,9.341290065021063,6.206031805846507,3.201945263318212,0.0,2.0101539663992725,2.965916018221492,5.048632674443564,6.161644328619552,8.505274725715534,9.540478227258877,10.503420284780944,12.568640424248187,13.620254146570261,14.644273330234775,15.731960589036731,18.786466923241086,19.730473611868675,21.857382604342263,22.87071909989607,25.970758357137385,28.165962501596546,30.3617890628762,32.44681446034847,34.419866027246556,36.536492586883234,39.6447515383215,40.65620469802825,42.73445464318609,45.6891522060133,48.80880903720698,51.94429979550657,55.09102314299577,57.115945233936976,59.14356575042395,62.22514618499998,64.23176856449737,66.36640675495906,69.30472637722491,71.56629532785158,73.59016171219417,74.87555017375084
N015,22.824598757448747,20.700694502163522,20.20267889911165,19.679818007198325,18.727912279576806,18.618894703140604,17.777259872090955,17.562398476286194,15.468546048131408,13.293715499256678,11.351444031420336,8.21618577224578,5.212099229717484,2.0101539663992725,0.0,0.9557620518222194,3.038478708044291,4.1514903622202795,6.495120759316261,7.530324260859604,8.493266318381671,10.558486457848915,11.610100180170988,12.634119363835502,13.721806622637459,16.776312956841814,17.720319645469402,19.84722863794299,20.8605651334968,23.960604390738112,26.155808535197274,28.351635096476926,30.436660493949198,32.40971206084728,34.52633862048396,37.63459757192223,38.646050731628975,40.72430067678682,43.678998239614025,46.798655070807705,49.9341458291073,53.0808691765965,55.105791267537704,57.13341178402468,60.214992218600706,62.22161459809811,64.35625278855977,67.29457241082562,69.55614136145229,71.58000774579489,72.86539620735155
N016,23.780360809270967,21.65645655398574,21.15844095093387,20.635580059020544,19.683674331399025,19.574656754962824,18.733021923913174,18.518160528108414,16.424308099953628,14.249477551078897,12.307206083242555,9.171947824067999,6.167861281539704,2.965916018221492,0.9557620518222194,0.0,2.082716656222072,3.19572831039806,5.539358707494042,6.574562209037385,7.537504266559452,9.602724406026695,10.654338128348769,11.678357312013283,12.76604457081524,15.820550905019594,16.764557593647183,18.89146658612077,19.90480308167458,23.004842338915893,25.200046483375054,27.395873044654707,29.48089844212698,31.453950009025064,33.57057656866174,36.67883552010001,37.690288679806756,39.7685386249646,42.723236187791805,45.842893018985485,48.97838377728508,52.12510712477428,54.150029215715485,56.17764973220246,59.25923016677849,61.26585254627589,63.40049073673756,66.33881035900342,68.60037930963009,70.62424569397268,71.90963415552935
N017,25.86307746549304,23.739173210207813,23.24115760715594,22.718296715242616,21.766390987621097,21.657373411184892,20.815738580135246,20.600877184330486,18.5070247561757,16.33219420730097,14.389922739464627,11.25466448029007,8.250577937761776,5.048632674443564,3.038478708044291,2.082716656222072,0.0,1.1130116541759882,3.45664205127197,4.491845552815313,5.45478761033738,7.520007749804623,8.571621472126697,9.595640655791211,10.683327914593168,13.737834248797522,14.681840937425111,16.8087499298987,17.822086425452508,20.92212568269382,23.117329827152982,25.313156388432635,27.398181785904907,29.371233352802992,31.48785991243967,34.59611886387793,35.60757202358468,37.68582196874253,40.64051953156974,43.76017636276342,46.89566712106301,50.04239046855221,52.067312559493416,54.09493307598039,57.17651351055642,59.18313589005382,61.31777408051549,64.25609370278134,66.51766265340801,68.5415290377506,69.82691749930727
N019,26.976089119669027,24.8521848643838,24.35416926133193,23.831308369418604,22.879402641797085,22.770385065360884,21.928750234311234,21.713888838506474,19.620036410351688,17.445205861476957,15.502934393640615,12.367676134466059,9.363589591937764,6.161644328619552,4.1514903622202795,3.19572831039806,1.1130116541759882,0.0,2.343630397095982,3.378833898639325,4.341775956161392,6.406996095628635,7.458609817950709,8.482629001615223,9.57031626041718,12.624822594621534,13.568829283249123,15.69573827572271,16.70907477127652,19.809114028517833,22.004318172976994,24.200144734256646,26.28517013172892,28.258221698627004,30.374848258263683,33.48310720970195,34.494560369408696,36.57281031456654,39.527507877393745,42.647164708587425,45.78265546688702,48.92937881437622,50.954300905317425,52.9819214218044,56.06350185638043,58.07012423587783,60.2047624263395,63.14308204860535,65.40465099923202,67.42851738357461,68.71390584513128
N018,29.31971951676501,27.195815261479783,26.69779965842791,26.174938766514586,25.223033038893067,25.114015462456862,24.272380631407216,24.057519235602456,21.96366680744767,19.78883625857294,17.846564790736597,14.711306531562041,11.707219989033746,8.505274725715534,6.495120759316261,5.539358707494042,3.45664205127197,2.343630397095982,0.0,1.035203501543343,1.99814555906541,4.063365698532653,5.114979420854727,6.138998604519241,7.2266858633211974,10.281192197525552,11.22519888615314,13.352107878626729,14.365444374180537,17.46548363142185,19.660687775881012,21.856514337160664,23.941539734632936,25.914591301531022,28.0312178611677,31.139476812605967,32.15092997231271,34.22917991747056,37.18387748029777,40.30353431149145,43.43902506979104,46.58574841728024,48.610670508221446,50.63829102470842,53.71987145928445,55.72649383878185,57.86113202924352,60.79945165150937,63.06102060213604,65.08488698647864,66.3702754480353
N021,30.35492301830835,28.231018763023126,27.733003159971254,27.21014226805793,26.25823654043641,26.149218964000205,25.30758413295056,25.0927227371458,22.998870308991012,20.824039760116282,18.88176829227994,15.746510033105384,12.742423490577089,9.540478227258877,7.530324260859604,6.574562209037385,4.491845552815313,3.378833898639325,1.035203501543343,0.0,0.9629420575220671,3.02816219698931,4.079775919311384,5.103795102975898,6.1914823617778545,9.24598869598221,10.189995384609798,12.316904377083386,13.330240872637194,16.430280129878508,18.62548427433767,20.82131083561732,22.906336233089593,24.87938779998768,26.996014359624358,30.104273311062624,31.11572647076937,33.19397641592721,36.14867397875442,39.2683308099481,42.40382156824769,45.55054491573689,47.575467006678096,49.60308752316507,52.6846679577411,54.6912903372385,56.82592852770017,59.76424814996602,62.02581710059269,64.04968348493529,65.33507194649195
