variable,modality,included_as_predictor,role,missing_rule,notes
pm2_5_lag_6h,atmospheric_context,True,predictor,training_only_median_if_required,
pm2_5_mean_3h,atmospheric_context,True,predictor,training_only_median_if_required,
pm2_5_mean_6h,atmospheric_context,True,predictor,training_only_median_if_required,
pm2_5_mean_24h,atmospheric_context,True,predictor,training_only_median_if_required,
aerosol_optical_depth_lag_1h,atmospheric_context,True,predictor,training_only_median_if_required,
aerosol_optical_depth_lag_3h,atmospheric_context,True,predictor,training_only_median_if_required,
aerosol_optical_depth_lag_6h,atmospheric_context,True,predictor,training_only_median_if_required,
aerosol_optical_depth_mean_3h,atmospheric_context,True,predictor,training_only_median_if_required,
aerosol_optical_depth_mean_6h,atmospheric_context,True,predictor,training_only_median_if_required,
aerosol_optical_depth_mean_24h,atmospheric_context,True,predictor,training_only_median_if_required,
nitrogen_dioxide_lag_1h,atmospheric_context,True,predictor,training_only_median_if_required,
nitrogen_dioxide_lag_3h,atmospheric_context,True,predictor,training_only_median_if_required,
nitrogen_dioxide_lag_6h,atmospheric_context,True,predictor,training_only_median_if_required,
nitrogen_dioxide_mean_3h,atmospheric_context,True,predictor,training_only_median_if_required,
nitrogen_dioxide_mean_6h,atmospheric_context,True,predictor,training_only_median_if_required,
nitrogen_dioxide_mean_24h,atmospheric_context,True,predictor,training_only_median_if_required,
ozone_mean_8h,atmospheric_context,True,predictor,training_only_median_if_required,
air_quality_missing_flag,atmospheric_context,True,predictor,training_only_median_if_required,
corridor_km,road_context,True,predictor,training_only_median_if_required,
elevation_m,road_context,True,predictor,training_only_median_if_required,
road_class,road_context,True,predictor,training_only_median_if_required,
lane_count,road_context,True,predictor,training_only_median_if_required,
lane_count_missing_flag,road_context,True,predictor,training_only_median_if_required,
urban_rural,road_context,True,predictor,training_only_median_if_required,
distance_to_nearest_junction,road_context,True,predictor,training_only_median_if_required,
osm_bridge_tagged,road_context,True,predictor,training_only_median_if_required,
distance_to_settlement,road_context,True,predictor,training_only_median_if_required,
distance_to_major_intersection,road_context,True,predictor,training_only_median_if_required,
upper_quartile_pm25_context,scenario_label,False,scenario_or_evaluation_label,not_applicable,elevated_pm2_5
upper_quartile_aod_context,scenario_label,False,scenario_or_evaluation_label,not_applicable,elevated_aod
rain_with_upper_quartile_pollution,scenario_label,False,scenario_or_evaluation_label,not_applicable,rain_elevated_atmospheric_pollution
any_grid_rain_flag,scenario_label,False,scenario_or_evaluation_label,not_applicable,rain_scenario_support
