scope,item,horizon,seed,recomputed_MAE,reported_MAE,absolute_difference,status
meteorology_ablation,M4_pressure,1,20260718,0.9907703440207363,0.9907703440207364,1.1102230246251565e-16,PASS
meteorology_ablation,M4_pressure,3,42,1.1692023191088796,1.1692023191088796,0.0,PASS
meteorology_ablation,M4_pressure,3,2025,1.171184050534663,1.171184050534663,0.0,PASS
meteorology_ablation,M4_pressure,3,20260623,1.16469745466463,1.16469745466463,0.0,PASS
meteorology_ablation,M4_pressure,3,20260715,1.1703744318735496,1.1703744318735496,0.0,PASS
meteorology_ablation,M4_pressure,3,20260718,1.1727446460317679,1.172744646031768,2.220446049250313e-16,PASS
meteorology_ablation,M4_pressure,6,42,1.2284936052273328,1.2284936052273328,0.0,PASS
meteorology_ablation,M4_pressure,6,2025,1.2229174197086707,1.2229174197086707,0.0,PASS
meteorology_ablation,M4_pressure,6,20260623,1.2267251330036313,1.2267251330036313,0.0,PASS
meteorology_ablation,M4_pressure,6,20260715,1.226924331990648,1.226924331990648,0.0,PASS
meteorology_ablation,M4_pressure,6,20260718,1.2167561909368867,1.2167561909368867,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,1,42,1.0213875621539028,1.0213875621539028,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,1,2025,1.0157616890773358,1.0157616890773358,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,1,20260623,1.0177721209479802,1.0177721209479802,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,1,20260715,1.0268531724183938,1.0268531724183938,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,1,20260718,1.0178372069187935,1.0178372069187935,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,3,42,1.196671639303045,1.196671639303045,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,3,2025,1.2055539794489096,1.2055539794489096,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,3,20260623,1.194981169748169,1.194981169748169,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,3,20260715,1.206517677618,1.206517677618,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,3,20260718,1.1965945178397572,1.1965945178397572,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,6,42,1.258983426896561,1.258983426896561,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,6,2025,1.2633019754674752,1.2633019754674752,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,6,20260623,1.2699214500555858,1.2699214500555858,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,6,20260715,1.2661896699524648,1.2661896699524648,0.0,PASS
meteorology_ablation,M5_cloud_boundary_layer_radiation,6,20260718,1.2632464089843252,1.2632464089843252,0.0,PASS
meteorology_ablation,M6_temperature_humidity,1,42,1.0314966839988733,1.0314966839988733,0.0,PASS
meteorology_ablation,M6_temperature_humidity,1,2025,1.0353070857007927,1.0353070857007929,2.220446049250313e-16,PASS
meteorology_ablation,M6_temperature_humidity,1,20260623,1.0341101178733048,1.0341101178733048,0.0,PASS
meteorology_ablation,M6_temperature_humidity,1,20260715,1.038252213072154,1.038252213072154,0.0,PASS
